full_name,name,url,description,language,stars,forks,watchers,open_issues,created_at,last_commit_at,days_active,days_since_commit,stars_per_month,is_abandoned,activity_level,project_maturity,popularity_score,data_collected_at
react/react,react,https://github.com/react/react,The library for web and native user interfaces.,JavaScript,246957,51183,246957,1247,2013-05-24T16:15:54Z,2026-08-04T16:30:52Z,4820,0,1527.57,False,Very Active,Mature,188224.8,2026-08-04 20:39:21.795662
vuejs/vue,vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,210192,33774,210192,637,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,4754,663,1318.09,True,Abandoned,Mature,157266.6,2026-08-04 20:39:21.795662
angular/angular,angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,TypeScript,100825,27401,100825,1147,2014-09-18T16:12:01Z,2026-08-04T18:51:28Z,4338,0,692.48,False,Very Active,Mature,78797.8,2026-08-04 20:39:21.795662
sveltejs/svelte,svelte,https://github.com/sveltejs/svelte,web development for the rest of us,JavaScript,87860,5176,87860,1116,2016-11-20T18:13:05Z,2026-08-02T08:37:26Z,3544,2,737.49,False,Very Active,Mature,63054.8,2026-08-04 20:39:21.795662
vercel/next.js,next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,141358,31678,141358,4314,2016-10-05T23:32:51Z,2026-08-05T00:28:28Z,3590,-1,1171.48,False,Very Active,Mature,108454.0,2026-08-04 20:39:21.795662
remix-run/remix,remix,https://github.com/remix-run/remix,"Build Better Websites. Create modern, resilient user experiences with web fundamentals.",TypeScript,33280,2790,33280,65,2020-10-26T19:57:28Z,2026-08-04T19:17:30Z,2108,0,466.98,False,Very Active,Mature,24133.0,2026-08-04 20:39:21.795662
nuxt/nuxt,nuxt,https://github.com/nuxt/nuxt,the full-stack Vue framework,TypeScript,60724,5780,60724,538,2016-10-26T11:18:47Z,2026-08-04T21:53:52Z,3569,0,506.17,False,Very Active,Mature,44240.8,2026-08-04 20:39:21.795662
withastro/astro,astro,https://github.com/withastro/astro,The web framework for content-driven websites. ⭐️ Star to support our work!,TypeScript,61542,3682,61542,112,2021-03-15T17:19:47Z,2026-08-04T23:58:40Z,1968,0,924.05,False,Very Active,Mature,44184.0,2026-08-04 20:39:21.795662
QwikDev/qwik,qwik,https://github.com/QwikDev/qwik,"Instant-loading web apps, without effort",TypeScript,22037,1395,22037,161,2021-05-19T15:33:32Z,2026-08-04T21:14:32Z,1903,0,342.01,False,Very Active,Mature,15844.4,2026-08-04 20:39:21.795662
solidjs/solid,solid,https://github.com/solidjs/solid,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",TypeScript,35795,1086,35795,29,2018-04-24T16:36:27Z,2026-08-05T00:03:24Z,3024,-1,351.62,False,Very Active,Mature,25382.3,2026-08-04 20:39:21.795662
